country_iso3,country_name,year,gdp_growth,inflation,unemployment,lending_rate,trade_opennes,govt_debt,gdp_per_capita_growth
ARE,United Arab Emirates,1995,6.68788645972636,,1.8,,,,2.02215215126262
ARE,United Arab Emirates,1996,5.79840406919965,,1.836,,,,-0.836570707044856
ARE,United Arab Emirates,1997,8.19039864916886,,1.906,,,,-0.251832471408235
ARE,United Arab Emirates,1998,0.291994342094213,,2.068,,,,-7.06429544482174
ARE,United Arab Emirates,1999,2.90221363963283,,2.195,,,,-4.20539217851939
ARE,United Arab Emirates,2000,10.8527042153779,,2.25,,,,3.63193280286305
ARE,United Arab Emirates,2001,1.39908503706683,,2.443,,89.8645799289427,,-4.86457732769431
ARE,United Arab Emirates,2002,2.43345681089617,,2.659,,93.0716588147781,,-3.6045063779694
ARE,United Arab Emirates,2003,8.80054081355328,,2.903,,102.300169490783,,2.68556331171168
ARE,United Arab Emirates,2004,9.56643663767056,,2.965,,116.622612523831,,3.71551069282259
ARE,United Arab Emirates,2005,4.85514119553341,,3.12,,119.552871642254,,-0.445687772577529
ARE,United Arab Emirates,2006,9.83731976924005,,2.964,,119.470669577786,,2.28744303095432
ARE,United Arab Emirates,2007,3.18439017324592,,2.934,,136.798152865771,,-8.10764986229219
ARE,United Arab Emirates,2008,3.19183627331763,12.2504202448139,2.818,,148.513544025723,,-7.90935166190489
ARE,United Arab Emirates,2009,-5.24292190384988,1.5618131744907,2.932,,153.461944358373,,-10.9561860264524
ARE,United Arab Emirates,2010,1.60285004671343,0.877983288285867,2.798,,135.485709128426,,-0.804617484632146
ARE,United Arab Emirates,2011,6.73646786920814,0.87734659568512,2.587,,144.176786868982,,3.21040480797836
ARE,United Arab Emirates,2012,4.6832657020049,0.662268900269008,2.323,,156.637694501481,,0.619829719966987
ARE,United Arab Emirates,2013,4.91847806719888,1.1011183637571,2.125,,157.398083989641,,0.805452996724028
ARE,United Arab Emirates,2014,4.63288144983127,2.34626865671642,1.999,,159.515615057764,,-0.124078023674471
ARE,United Arab Emirates,2015,7.08767348587587,4.06996608361593,1.793,,164.286182737903,,1.47473600077311
ARE,United Arab Emirates,2016,5.65793329224303,1.61748808904197,1.64,,165.39501917458,,0.574841518832997
ARE,United Arab Emirates,2017,-1.06137661464977,1.96682557818842,2.462,,165.476542469815,,-4.15218113866617
ARE,United Arab Emirates,2018,1.53716683173516,3.06863379251996,2.236,,154.747005019293,,0.195794810557288
ARE,United Arab Emirates,2019,1.27134240761141,-1.93108114782172,2.331,,163.822152944853,,0.209030520233554
ARE,United Arab Emirates,2020,-8.69342617885171,-2.07940317940943,4.294,,181.29188817064,,-8.258825738052
ARE,United Arab Emirates,2021,4.55278571242283,0.179935336174431,3.105,,182.909355066597,,2.65160401509495
ARE,United Arab Emirates,2022,7.51448425801082,5.29122604376849,2.872,,185.741660982819,,2.18063316393284
ARE,United Arab Emirates,2023,4.30118228020602,1.62670837213248,2.151,,199.044979237546,13.1295816769393,0.234354339957449
ARG,Argentina,1995,-2.84520961057079,,18.8,,19.7714230903755,-1.98346027350929,-4.10993598659498
ARG,Argentina,1996,5.52668982715234,,17.11,,21.5064684057215,-2.4875930110115,4.20805017284493
ARG,Argentina,1997,8.1110467707457,,14.82,,23.3361788437439,-4.14468006629108,6.80582114293425
ARG,Argentina,1998,3.85017885156228,,12.65,,23.3500279730689,-4.84431604541957,2.63654066984506
ARG,Argentina,1999,-3.38545704063269,,14.05,,21.3827449624898,-4.21229506178183,-4.49306655170841
ARG,Argentina,2000,-0.78899893905691,,15.0,,22.6224447777343,-3.15992237703676,-1.90684139222867
ARG,Argentina,2001,-4.40883968258557,,17.32,,21.8522554515453,-1.40694788500181,-5.45263903304014
ARG,Argentina,2002,-10.8944848285903,,19.59,,41.7527243585642,8.97078467784247,-11.8423138177008
ARG,Argentina,2003,8.83704079576924,,15.36,,40.6447480311085,6.37990680177011,7.71839038006088
ARG,Argentina,2004,9.02957330068152,,13.522,,40.692646108947,1.95058324319273,7.92951713016532
ARG,Argentina,2005,8.85165992013437,,11.506,,40.5512709706238,2.65363142179073,7.73898107569444
ARG,Argentina,2006,8.04715150043027,,10.078,,40.4334798719151,2.79449564264943,6.94185160089025
ARG,Argentina,2007,9.00765087504757,,8.47,,40.945170618571,2.1036160391819,7.93261011269163
ARG,Argentina,2008,4.05723310346406,,7.837,,40.4026733790382,1.49940141614234,3.00856892610517
